subsector,is_stock_dependent,input_type,unit,driver_denominator_1,driver_denominator_2,driver_1,driver_2,geography,final_energy_index,demand_technology_index,other_index_1,other_index_2,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,final_energy,demand_technology,oth_1,oth_2,year,value,sensitivity
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2015,8151570000.0,
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2020,8977750000.0,
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2030,10670300000.0,
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2040,12372900000.0,
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2050,14027500000.0,
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2015,10695100000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2020,10989300000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2030,11263200000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2040,11516700000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Metropolitan,,2050,11750000000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2015,8151570000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2020,8764950000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2030,9398630000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2040,10052600000.0,Mode switching
Two & three wheelers,False,total,kilometer,,,,,mexico,,,metropolitan type,,cubic,cubic,,,,,mx,,,Non-metropolitan,,2050,10726900000.0,Mode switching
