supply_node,geography,other_index_1,unit,interpolation_method,extrapolation_method,extrapolation_growth,geography_map_key,source,notes,gau,oth_1,resource_bin,year,value,sensitivity
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2024,628.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2025,633.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2026,638.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2027,648.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2028,662.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2029,677.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2030,696.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2031,715.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2032,731.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2033,747.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2034,765.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2035,782.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2036,798.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2037,815.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2038,833.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2039,851.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2040,870.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2041,890.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2042,910.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2043,930.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2044,950.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2045,971.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2046,992.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2047,1014.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2048,1036.0,
Asphalt Product,census region,,teraBtu,linear_interpolation,decay_towards_linear_regression,,Bulk Chemicals VOS,,,south,,,2049,1058.0,
