supply_tech,geography,definition,reference_tech_id,input_unit,output_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,supply_node,efficiency_type,gau,demand_sector,resource_bin,vintage,value
power-to-gas methanation,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2015.0,1.9082512790000001
power-to-gas methanation,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2030.0,1.8252838319999998
power-to-gas methanation,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Electricity Transmission Grid,consumed,mx,,,2050.0,1.8252838319999998
pulverized coal power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,1982.0,10.2915952
pulverized coal power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,1993.0,10.13895979
pulverized coal power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2019.0,8.627
pulverized coal power plant,mexico,absolute,,gigajoule,megawatt_hour,linear_interpolation,nearest,,,,,,Coal Product,consumed,mx,,,2031.0,8.627
pumped hydro storage,mexico,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,,Bulk Electricity Blend,consumed,mx,,,2010.0,1.33
purpose-built liquefiers,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,GREET,,Gas Distribution Pipeline,consumed,mx,,,2015.0,0.098
purpose-built liquefiers,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,GREET,,Gas Distribution Pipeline,not consumed,mx,,,2015.0,1.0
purpose-built liquefiers,mexico,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,GREET,,Electricity Transmission Grid,consumed,mx,,,2015.0,0.0198
residual oil combustion turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2015.0,2.48
residual oil combustion turbine IPP cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-0.87
residual oil combustion turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Steam Blend,consumed,mx,,,2015.0,-0.87
residual oil combustion turbine IPP cogen power plant w/ccs,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2015.0,2.613076463
residual oil combustion turbine cogen power plant,mexico,relative,55.0,Btu,Btu,linear_interpolation,nearest,,,,,,,,,,,,
residual oil combustion turbine power plant,mexico,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,,,,,,,,
residual oil steam turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Distributed Electricity,consumed,mx,,,2015.0,-0.36
residual oil steam turbine cogen power plant,mexico,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,,Residual Fossil Fuel Oil Product,consumed,mx,,,2015.0,2.34
