supply_tech,definition,reference_tech_id,geography,currency,currency_year,capacity_or_energy_unit,time_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes,gau,demand_sector,resource_bin,vintage,value
gas combined cycle IPP cogen power plant w/ccs,relative,28.0,,,,,,,,,,,,,,,,,
gas combined cycle cogen power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,21.3
gas combined cycle cogen power plant w/ccs,relative,53.0,,,,,,,,,,,,,,,,,
gas combined cycle power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,14.49
gas combined cycle power plant with CCS,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,32.28
gas combustion turbine IPP cogen power plant,relative,29.0,,,,,,,,,,,,,,,,,
gas combustion turbine IPP cogen power plant w/ccs,relative,29.0,,,,,,,,,,,,,,,,,
gas combustion turbine cogen power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,5.41
gas combustion turbine cogen power plant w/ccs,relative,61.0,,,,,,,,,,,,,,,,,
gas combustion turbine power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,6.28
gas combustion turbine power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,7.31
gas steam turbine IPP cogen power plant,relative,30.0,,,,,,,,,,,,,,,,,
gas steam turbine IPP cogen power plant w/ccs,relative,30.0,,,,,,,,,,,,,,,,,
gas steam turbine cogen power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,7.6
gas steam turbine cogen power plant w/ccs,relative,54.0,,,,,,,,,,,,,,,,,
gas steam turbine power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,30.38
geothermal power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,153.07
landfill gas cogen power plant,absolute,,mexico,USD,2013.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,588.9
landfill gas cogen power plant w/ccs,relative,58.0,,,,,,,,,,,,,,,,,
landfill gas to electricity power plant,absolute,,mexico,USD,2013.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,392.6
large hydro power plant,absolute,,mexico,USD,2013.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,15.15
municipal solid waste cogen power plant,absolute,,mexico,USD,2012.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2012.0,54.99
municipal solid waste cogen power plant w/ccs,relative,59.0,,,,,,,,,,,,,,,,,
municipal solid waste power plant,absolute,,mexico,USD,2012.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2012.0,392.82
nuclear power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,81.82
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,134.01
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,132.67
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2016.0,131.33
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2017.0,127.65
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2018.0,123.96
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2019.0,120.28
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2020.0,116.59
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2021.0,113.91
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2022.0,111.23
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2023.0,108.55
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2024.0,107.79
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2025.0,107.02
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2026.0,106.25
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2027.0,105.49
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2028.0,104.72
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2029.0,103.96
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2030.0,103.19
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2031.0,103.06
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2032.0,102.92
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2033.0,102.79
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2034.0,102.66
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2035.0,102.52
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2036.0,102.39
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2037.0,102.25
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2038.0,102.12
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2039.0,101.99
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2040.0,101.85
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2041.0,101.71
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2042.0,101.56
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2043.0,101.41
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2044.0,101.27
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2045.0,101.12
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2046.0,100.98
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2047.0,100.83
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2048.0,100.68
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2049.0,100.54
offshore wind power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2050.0,100.39
petroleum coke steam turbine cogen power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,4.56
petroleum coke steam turbine cogen power plant w/ccs,relative,52.0,,,,,,,,,,,,,,,,,
petroleum coke steam turbine power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,30.38
pulverized coal power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,20.49
pulverized coal power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,31.66
pumped hydro storage,absolute,,mexico,USD,2009.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2010.0,30.8
residual oil combustion turbine IPP cogen power plant,relative,64.0,,,,,,,,,,,,,,,,,
residual oil combustion turbine IPP cogen power plant w/ccs,relative,64.0,,,,,,,,,,,,,,,,,
residual oil combustion turbine cogen power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,6.28
residual oil combustion turbine power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,6.28
residual oil steam turbine cogen power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,10.94
residual oil steam turbine cogen power plant w/ccs,relative,55.0,,,,,,,,,,,,,,,,,
residual oil steam turbine power plant,absolute,,mexico,USD,1999.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,1995.0,30.38
rooftop solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,22.0
rooftop solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,19.8
rooftop solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2016.0,17.6
rooftop solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2017.0,15.4
rooftop solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2018.0,13.2
rooftop solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2019.0,11.0
rooftop solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2020.0,11.0
run of river hydro power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,84.06
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,66.0
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,64.33
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2016.0,62.67
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2017.0,61.0
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2018.0,59.33
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2019.0,57.67
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2020.0,56.0
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2021.0,54.4
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2022.0,52.8
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2023.0,51.2
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2024.0,49.6
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2025.0,48.0
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2026.0,46.4
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2027.0,44.8
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2028.0,43.2
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2029.0,41.6
solar thermal with energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2030.0,40.0
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,66.0
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,64.33
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2016.0,62.67
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2017.0,61.0
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2018.0,59.33
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2019.0,57.67
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2020.0,56.0
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2021.0,54.4
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2022.0,52.8
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2023.0,51.2
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2024.0,49.6
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2025.0,48.0
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2026.0,46.4
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2027.0,44.8
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2028.0,43.2
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2029.0,41.6
solar thermal without energy storage power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2030.0,40.0
transmission-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2014.0,22.1
transmission-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2015.0,20.8
transmission-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2016.0,19.5
transmission-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2017.0,16.9
transmission-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2018.0,14.3
transmission-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2019.0,11.7
transmission-sited solar PV power plant,absolute,,mexico,USD,2014.0,kilowatt,,linear_interpolation,nearest,,,,,,mx,,,2020.0,10.4
